DateTime,Temperature(C),Humidity(%),CO2(ppm),PM1.0,PM2.5,PM10
11/12/2025 7:44,26.2,95.5,597,96,98,100
11/12/2025 7:44,26.2,95.4,597,95,97,99
11/12/2025 7:45,26.2,95.4,595,95,97,99
11/12/2025 7:46,26.2,95.5,595,95,96,98
11/12/2025 7:47,26.2,95.6,592,95,96,98
11/12/2025 7:48,26.2,95.7,592,94,96,98
11/12/2025 7:49,26.2,95.8,592,95,97,99
11/12/2025 7:50,26.1,95.1,590,95,97,99
11/12/2025 7:51,26.1,95.1,590,95,97,99
11/12/2025 7:52,26.1,95.2,589,95,96,99
11/12/2025 7:53,26.1,95.1,589,95,97,99
11/12/2025 7:54,26.1,95.1,590,96,98,101
11/12/2025 7:55,26.1,95.3,590,96,98,101
11/12/2025 7:56,26.1,95.4,590,97,99,101
11/12/2025 7:57,26.1,95.5,594,96,98,100
11/12/2025 7:58,26.1,95.5,594,96,98,100
11/12/2025 7:59,26,95.6,600,96,98,100
11/12/2025 8:00,26,95.4,600,95,97,99
11/12/2025 8:01,26,95.6,603,95,97,99
11/12/2025 8:02,26,95.6,603,95,97,99
11/12/2025 8:03,26,95.3,603,97,99,101
11/12/2025 8:04,26,94.9,604,97,98,100
11/12/2025 8:05,26,94.8,604,96,97,99
11/12/2025 8:06,26,94.9,602,95,97,99
11/12/2025 8:07,26,95.2,602,95,96,97
11/12/2025 8:08,25.9,95.3,602,0,0,0
11/12/2025 8:09,25.9,95.2,601,0,0,0
,,,,,,
11/12/2025 8:11,23.1,70.4,621,30,38,46
11/12/2025 8:12,23.1,70.4,621,31,39,46
11/12/2025 8:13,23.1,70.3,621,32,40,47
11/12/2025 8:14,23.1,70.3,621,32,40,48
11/12/2025 8:15,23.1,70,621,32,41,48
11/12/2025 8:16,23.1,69.8,622,33,41,48
11/12/2025 8:17,23.1,70,622,33,42,49
11/12/2025 8:18,23.1,70.1,623,33,41,49
11/12/2025 8:19,23.1,70.1,623,32,41,48
11/12/2025 8:20,23.1,70.2,623,32,41,48
11/12/2025 8:21,23.1,70.2,623,31,41,48
11/12/2025 8:22,23.1,70.1,623,32,40,47
11/12/2025 8:23,23.1,69.9,624,32,40,47
11/12/2025 8:24,23.1,69.9,624,32,42,49
11/12/2025 8:25,23.1,70,624,32,42,49
11/12/2025 8:26,23.1,70,624,32,42,49
11/12/2025 8:27,23.1,69.9,624,32,42,49
11/12/2025 8:28,23.1,69.8,624,33,42,50
11/12/2025 8:29,23.1,69.8,624,33,42,50
11/12/2025 8:30,23.1,69.8,622,33,42,49
11/12/2025 8:31,23,69.7,622,33,41,48
11/12/2025 8:32,23.1,69.7,622,33,41,48
11/12/2025 8:33,23.1,69.7,621,32,42,49
11/12/2025 8:34,23.1,69.6,621,32,42,48
11/12/2025 8:35,23.1,69.7,621,0,0,0
11/12/2025 8:36,23.1,69.8,621,33,42,50
11/12/2025 8:37,23.1,69.7,621,34,42,51
11/12/2025 8:38,23.1,69.7,621,34,43,51
11/12/2025 8:39,23.1,69.7,621,36,46,54
11/12/2025 8:40,23.1,69.7,621,37,47,55
11/12/2025 8:41,23.1,69.7,621,39,48,57
11/12/2025 8:42,23.1,69.6,621,42,49,58
11/12/2025 8:43,23.1,69.4,621,45,50,61
11/12/2025 8:44,23.1,69.3,620,47,52,63
11/12/2025 8:45,23.1,69.2,620,50,53,65
11/12/2025 8:46,23.1,69.2,620,53,55,67
11/12/2025 8:47,23,69.2,620,55,58,68
11/12/2025 8:48,23,69.2,619,57,61,71
11/12/2025 8:49,23,69.4,619,60,63,72
11/12/2025 8:50,23,69.3,619,61,65,74
11/12/2025 8:51,23,69.4,619,63,66,73
11/12/2025 8:52,23,69.4,619,67,70,75
11/12/2025 8:53,23,69.6,618,67,70,76
11/12/2025 8:54,23,69.7,618,67,70,76
11/12/2025 8:55,23,69.8,617,68,70,76
11/12/2025 8:56,23.1,69.6,617,68,71,76
11/12/2025 8:57,23.1,69.5,616,68,71,76
11/12/2025 8:58,23.1,69.4,616,68,71,76
11/12/2025 8:59,23,69.4,616,68,71,76
11/12/2025 9:00,23.1,69.4,614,68,71,76
11/12/2025 9:01,23,69.3,614,66,69,75
11/12/2025 9:02,23.1,69,611,65,69,74
11/12/2025 9:03,23.1,68.9,611,65,68,74
11/12/2025 9:04,23.1,68.8,608,64,67,73
11/12/2025 9:05,23.1,68.8,608,63,66,73
11/12/2025 9:06,23.1,68.7,608,62,65,72
11/12/2025 9:07,23,68.8,606,61,63,71
11/12/2025 9:08,23,68.8,606,60,63,71
11/12/2025 9:09,23.1,68.8,605,59,61,70
11/12/2025 9:10,23,68.9,605,57,60,69
11/12/2025 9:11,23,69,605,0,0,0
11/12/2025 9:12,23,68.9,605,0,0,0
11/12/2025 9:13,23,68.8,605,0,0,0
11/12/2025 9:14,23,68.7,606,37,46,54
11/12/2025 9:15,23,68.7,606,38,46,56
11/12/2025 9:16,23,68.8,608,39,47,56
11/12/2025 9:17,23,68.9,608,39,47,57
11/12/2025 9:18,23,68.9,611,40,48,58
11/12/2025 9:19,23,69,611,42,49,59
11/12/2025 9:20,23,68.9,614,42,49,59
11/12/2025 9:21,23,68.9,614,42,50,60
11/12/2025 9:22,23,69,614,43,50,61
11/12/2025 9:23,23,69,616,43,50,61
11/12/2025 9:24,23,68.9,616,43,49,60
11/12/2025 9:25,23,68.7,617,41,49,59
11/12/2025 9:26,23,68.7,617,39,46,56
11/12/2025 9:27,23,68.7,617,37,46,55
11/12/2025 9:28,23,68.7,617,36,44,53
11/12/2025 9:29,23,68.6,617,36,45,53
11/12/2025 9:30,23,68.4,617,35,44,51
11/12/2025 9:31,23,68.2,617,34,42,50
11/12/2025 9:32,23,68.2,615,32,40,47
11/12/2025 9:33,23,68.2,615,31,39,45
11/12/2025 9:34,23,68.3,615,30,38,45
11/12/2025 9:35,23,68.4,614,29,36,43
11/12/2025 9:36,22.9,68.4,614,28,35,41
11/12/2025 9:59,22.8,68.3,605,20,26,30
11/12/2025 9:37,23,68.4,612,28,35,38
11/12/2025 9:38,22.9,68.4,612,27,34,37
11/12/2025 9:39,22.9,68.3,611,0,0,0
11/12/2025 9:40,22.9,68.3,611,0,0,0
11/12/2025 9:41,22.9,68.2,611,0,0,0
11/12/2025 9:42,22.9,68.2,611,15,19,23
11/12/2025 9:43,22.9,68.3,611,18,22,26
11/12/2025 9:44,22.9,68.3,611,21,26,30
11/12/2025 9:45,22.9,68.4,611,23,29,34
11/12/2025 9:46,22.9,68.5,611,24,30,37
11/12/2025 9:47,22.9,68.5,611,25,32,38
11/12/2025 9:48,22.9,68.5,611,26,33,40
11/12/2025 9:53,22.9,68.3,610,27,34,41
11/12/2025 9:54,22.9,68.3,610,26,33,39
11/12/2025 9:55,22.9,68.4,608,24,32,37
11/12/2025 9:56,22.8,68.4,608,23,31,36
11/12/2025 9:57,22.8,68.4,608,22,30,34
11/12/2025 9:58,22.8,68.4,605,21,28,31
11/12/2025 9:59,22.8,68.3,605,20,26,30
11/12/2025 10:00,20.8,59.3,680,49,53,66
11/12/2025 10:01,20.8,59.3,680,50,54,67
11/12/2025 10:02,20.8,59.4,680,49,54,66
11/12/2025 10:03,20.8,59.4,677,49,54,66
11/12/2025 10:04,20.8,59.4,677,49,53,66
11/12/2025 10:05,20.8,59.5,677,48,53,66
11/12/2025 10:06,20.8,59.6,677,48,53,65
11/12/2025 10:07,20.8,59.7,677,47,53,65
11/12/2025 10:08,20.8,59.6,679,47,53,65
11/12/2025 10:09,20.8,59.5,679,47,53,65
11/12/2025 10:10,20.8,59.5,682,46,51,64
11/12/2025 10:11,20.8,59.5,682,46,51,64
11/12/2025 10:12,20.8,59.5,685,46,51,63
11/12/2025 10:13,20.8,59.5,685,46,52,63
11/12/2025 10:14,20.8,59.5,685,46,52,63
11/12/2025 10:15,20.8,59.5,688,46,51,63
11/12/2025 10:16,20.8,59.5,688,45,51,63
11/12/2025 10:17,20.8,59.5,690,44,51,62
11/12/2025 10:18,20.8,59.6,690,44,50,61
11/12/2025 10:19,20.8,59.6,692,44,50,61
11/12/2025 10:20,20.8,59.6,692,43,50,61
11/12/2025 10:21,20.8,59.6,692,42,49,60
11/12/2025 10:22,20.8,59.5,693,42,49,60
11/12/2025 10:23,20.8,59.5,693,42,49,60
11/12/2025 10:24,20.8,59.5,694,0,0,0
11/12/2025 10:25,20.8,59.6,694,0,0,0
11/12/2025 10:26,20.8,59.5,694,0,0,0
11/12/2025 10:27,20.8,59.6,696,0,0,0
11/12/2025 10:28,20.8,59.5,696,0,0,0
,,,,,,
11/12/2025 10:30,20.5,60.1,672,4,8,8
11/12/2025 10:31,20.5,60.1,672,4,8,8
11/12/2025 10:32,20.5,60.1,671,4,8,8
11/12/2025 10:33,20.5,60.1,671,4,8,8
11/12/2025 10:34,20.5,60.1,668,4,7,8
11/12/2025 10:35,20.5,60.1,668,4,7,8
11/12/2025 10:36,20.5,60,665,4,7,8
11/12/2025 10:37,20.5,60.1,665,4,7,7
11/12/2025 10:38,20.5,60.1,665,4,7,7
11/12/2025 10:39,20.5,60,663,4,7,7
11/12/2025 10:40,20.5,60.1,663,4,7,8
11/12/2025 10:41,20.5,60.2,662,4,7,8
11/12/2025 10:42,20.5,60.1,662,4,7,8
11/12/2025 10:43,20.5,60.2,662,3,7,8
11/12/2025 10:44,20.5,60.2,662,3,7,8
11/12/2025 10:45,20.5,60.1,662,3,7,8
11/12/2025 10:46,20.5,60.1,662,3,7,8
11/12/2025 10:47,20.5,60.1,662,3,7,8
11/12/2025 10:48,20.5,60.2,662,3,7,8
11/12/2025 10:49,20.5,60.2,662,3,7,8
11/12/2025 10:50,20.5,60.3,662,3,6,8
11/12/2025 10:51,20.5,60.3,663,3,6,8
11/12/2025 10:52,20.5,60.3,663,3,6,7
11/12/2025 10:53,20.5,60.3,665,3,6,7
11/12/2025 10:54,20.5,60.2,665,0,0,0
11/12/2025 10:55,20.5,60,669,0,0,0
11/12/2025 10:56,20.5,60.3,669,4,7,8
11/12/2025 10:57,20.2,61.4,717,9,12,12
11/12/2025 10:58,20.2,61.4,717,9,12,12
11/12/2025 10:59,20.2,61.4,717,9,12,12
11/12/2025 11:00,20.2,61.4,717,9,12,12
11/12/2025 11:01,20.2,61.4,716,8,11,12
11/12/2025 11:02,20.2,61.4,716,7,10,12
11/12/2025 11:03,20.2,61.5,715,7,10,11
11/12/2025 11:04,20.2,61.5,715,6,9,11
11/12/2025 11:05,20.2,61.5,715,6,9,11
11/12/2025 11:06,20.2,61.6,715,5,8,10
11/12/2025 11:07,20.2,61.5,715,4,7,10
11/12/2025 11:08,20.2,61.6,715,3,6,9
11/12/2025 11:09,20.2,61.6,715,3,5,8
11/12/2025 11:10,20.2,61.5,715,2,5,7
11/12/2025 11:11,20.2,61.5,715,2,4,7
11/12/2025 11:12,20.2,61.4,715,2,4,6
11/12/2025 11:13,20.2,61.4,715,1,3,5
